id,name,aadhaar,bank_account,bank_name,address,district,scheme,amount,dob,mobile,registration_date
553,Sanjay Jha,811638473859,69952723267,Indian Bank,"House 259, Ambedkar Nagar, Lucknow",Lucknow,PM Ujjwala,2710.98,1969-10-19,9198037880,2023-06-28
554,Pushpa Chatterjee,414231057462,43433900388,Punjab National Bank,"House 109, Ambedkar Nagar, Gaya",Gaya,NSAP Pension,5722.15,1998-05-27,9260830334,2023-12-29
555,Sunil Nath,046326740194,31869376199,Indian Bank,"House 979, Rajiv Nagar, Sivasagar",Sivasagar,PM Fasal Bima,13837.45,1966-06-13,9277010210,2021-10-06
556,Ramesh Jha,464301998677,04521622640,Union Bank,"House 424, Gandhi Nagar, Lucknow",Lucknow,NSP Scholarship,11883.79,1998-06-09,9255475801,2021-12-10
557,Lalita Nirmalkar,076587364649,45383469659,Central Bank,"House 811, Nehru Vihar, Allahabad",Allahabad,MGNREGA,12737.98,1978-08-07,9423221040,2020-11-19
558,Ganga Sahu,862666366770,02153629476,Bank of Baroda,"House 483, Ambedkar Nagar, Gorakhpur",Gorakhpur,PM-KISAN,3304.41,1923-04-11,9594651974,2023-10-12
559,Tulsi Rani,860074867657,33725253100,Bank of India,"House 702, Gandhi Nagar, Raipur",Raipur,Ayushman Bharat,26292.2,1982-10-11,9804863103,2022-09-08
560,Hari Patel,940164745811,21410052270,State Bank of India,"House 94, Indira Colony, Nagaon",Nagaon,Ayushman Bharat,23576.81,1971-11-06, ,2022-04-08
561,Anjali Mukherjee,852282749423,97319513953,Bank of India,"House 767, Netaji Nagar, Barpeta",Barpeta,NSAP Pension,2387.42,1970-09-28,9409276776,2023-11-07
562,Savita Iyer,856933798183,74889808280,State Bank of India,"House 284, Model Town, Bhopal",Bhopal,PM Ujjwala,3050.81,1975-08-29,9148659125,2025-04-29
563,Babli Bose,962706403045,32638990741,Central Bank,"House 789, Model Town, Gorakhpur",Gorakhpur,PM Fasal Bima,7039.6,1975-01-18,9424252029,2023-01-27
564,Mamta Mukherjee,248129323848,60442163868,Union Bank,"House 942, Gandhi Nagar, Darrang",Darrang,PM Ujjwala,2892.11,1969-04-17,9566669980,2021-11-21
565,Guddi Mallah,292384798622,15059983522,Canara Bank,"House 647, Gandhi Nagar, Varanasi",Varanasi,PM Ujjwala,1760.22,1978-03-18,9784624078,2021-10-07
566,Vinod Roy,376099223231,95278631745,Union Bank,"House 276, Nehru Vihar, Darbhanga",Darbhanga,NSP Scholarship,10775.9,1999-10-07,9512582157,2022-05-02
567,Prakash Shah,165486053230,52148672726,Indian Bank,"Plot No.4, Near Panchayat Office, Sonitpur",Udaipur,NSP Scholarship,4568.42,1971-06-12,9708260021,2021-11-19
568,Sunita Devi,627191783846,34536320029,State Bank of India,"House 695, New Colony, Lucknow",Lucknow,MGNREGA,13880.88,1992-10-02,9904084288,2022-01-27
569,Vijay Gupta,740348671726,04838169893,State Bank of India,"House 227, Rampur, Amritsar",Amritsar,PM-KISAN,4249.48,1986-05-09,9742352826,2022-03-31
570,Usha Patel,536059616922,50729689264,Bank of India,"House 641, Krishnanagar, Gaya",Gaya,NSAP Pension,4461.84,2001-03-14,9636347694,2024-04-14
571,Rekha Mehta,601433969978,60884301208,Allahabad Bank,"House 9, Rajiv Nagar, Indore",Indore,MGNREGA,13891.87,1982-10-01,9463730261,2021-12-25
572,Seema Kahar,989132901201,51436652639,Indian Bank,"House 708, Lal Bahadur Nagar, Ludhiana",Ludhiana,NSAP Pension,3839.8,1979-10-12,9757842148,2021-11-28
573,Rajesh Verma,925591738200,38739000801,Bank of India,"Plot No.2, Near Panchayat Office, Jorhat",Sonitpur,PM Ujjwala,2924.68,1965-09-09,9098291973,2024-07-03
574,Lalita Pillai,476982260477,64318754613,Bank of Baroda,"House 374, Gandhi Nagar, Varanasi",Varanasi,PM Fasal Bima,20699.17,1973-01-13,9555366417,2025-09-08
575,Lalita Ghosh,778380387512,04573658678,Bank of Baroda,"House 567, Krishnanagar, Bhopal",Bhopal,NSP Scholarship,8387.48,1975-09-27,9983932127,2023-12-18
576,Parvati Nair,208989122891,22164644977,Union Bank,"House 536, Nehru Vihar, Gorakhpur",Gorakhpur,PMKVY Skill Dev,17992.92,1998-06-12,9126205785,2023-06-06
577,Shanti Sharma,406207353952,93407531739,Indian Bank,"House 257, Ambedkar Nagar, Dhubri",Dhubri,PM-KISAN,532809.31,1968-09-02,9991070719,2025-06-06
578,Suresh Verma,405156808019,82935564918,Bank of India,"Plot No.2, Near Panchayat Office, Jorhat",Allahabad,PMSBY Insurance,1399.53,1996-05-20,9631099509,2022-08-12
579,Anjali Verma,261810220221,77008562508,Indian Bank,"House 990, Rampur, Goalpara",Goalpara,MGNREGA,5149.8,1960-03-18,9697429899,2020-10-19
580,Rakesh Tiwari,682095566212,60278344984,Allahabad Bank,"House 900, Sardar Patel Nagar, Bhopal",Bhopal,NSP Scholarship,6690.04,1975-08-09,9959982019,2023-08-07
581,Vijay Maurya,747899500050,14258238659,UCO Bank,"House 969, Indira Colony, Gaya",Gaya,PMSBY Insurance,1251.81,1958-08-19,9885734787,2020-12-09
582,Sunil Kahar,711885768363,80109342381,Indian Bank,"House 297, Indira Colony, Kamrup",Kamrup,PMKVY Skill Dev,17124.7,1973-12-17,9825171607,2025-08-30
583,Anjali Naidu,699381497711,91599820256,UCO Bank,"House 855, Indira Colony, Udaipur",Udaipur,PM Ujjwala,2153.87,1996-03-23,9572921315,2025-12-18
584,Anita Chatterjee,597443537443,88060456578,Bank of Baroda,"House 416, Bapunagar, Allahabad",Allahabad,MGNREGA,7123.19,1988-03-07,9515067000,2023-12-12
585,Anjali Mallah,241982545303,26395579829,Bank of Baroda,"House 76, Netaji Nagar, Bhagalpur",Bhagalpur,PM Ujjwala,2853.7,1964-11-07,9542065304,2024-03-15
586,Ritu Bind,452039338694,69342497607,State Bank of India,"House 92, Bapunagar, Lucknow",Lucknow,Ayushman Bharat,12574.51,2000-08-23,9046663909,2022-01-26
587,Mukesh Rajput,932071734178,39407893506,Bank of Baroda,"House 806, Shantinagar, Lakhimpur",Lakhimpur,PM Fasal Bima,17255.09,2000-04-27,9707778070,2025-04-12
588,Geeta Nair,634651760481,60278344984,Bank of Baroda,"House 425, Sardar Patel Nagar, Jorhat",Jorhat,Ayushman Bharat,20895.48,1960-01-08,9872382987,2023-05-04
589,Asha Rani,779039811575,17489073856,State Bank of India,"House 610, Shantinagar, Nagaon",Nagaon,PM Fasal Bima,22995.85,1969-07-07,9431366667,2025-10-20
590,Naresh Verma,471609664086,05550655939,Punjab National Bank,"House 375, New Colony, Varanasi",Varanasi,PM-KISAN,2584.52,1970-01-09,9712444564,2022-10-07
591,Hari Chauhan,804353399131,16887559496,Indian Bank,"House 100, Krishnanagar, Jaipur",Jaipur,NSAP Pension,2999.26,1977-08-03,9106198458,2024-08-15
592,Anjali Kumar,364749691683,29281942001,Union Bank,"House 663, Model Town, Sonitpur",Sonitpur,NSAP Pension,3827.77,1982-09-02,9493297793,2024-10-09
593,Devaki Patel,995557120215,19965845893,Indian Bank,"House 684, Krishnanagar, Dhubri",Dhubri,NSAP Pension,5607.29,1974-08-07,9212206081,2024-05-02
594,Babli Naidu,794619759344,98107497842,Bank of Baroda,"House 535, Subhash Nagar, Barpeta",Barpeta,NSAP Pension,5182.0,1975-10-21,9734501682,2025-04-17
595,Anil Kahar,770433379070,34023232785,Allahabad Bank,"House 808, Model Town, Jaipur",Jaipur,PM-KISAN,4235.06,1975-11-15,9459096919,2021-03-24
596,Rajan Bose,983266872502,61003629388,Punjab National Bank,"House 530, Shantinagar, Dhubri",Dhubri,MGNREGA,12153.54,1994-09-07,9827223844,2022-04-28
597,Sunita Kahar,392604002682,92481345280,State Bank of India,"House 721, Netaji Nagar, Bilaspur",Bilaspur,PMKVY Skill Dev,16224.93,1960-06-13,9831714305,2024-08-31
598,Usha Sahu,340969689179,99540353008,Canara Bank,"House 478, Subhash Nagar, Varanasi",Varanasi,PM Fasal Bima,4668.54,1977-10-25,9791701077,2023-03-09
599,Kamla Kahar,211314822225,20578179970,Bank of India,"House 437, Gandhi Nagar, Darbhanga",Darbhanga,MGNREGA,14670.6,1963-01-11,9463526519,2021-08-16
600,Meera Verma,721359669709,75175596111,Punjab National Bank,"House 499, Rampur, Darrang",Darrang,MGNREGA,8270.1,1984-09-26,9175951032,2020-10-10
601,Kiran Joshi,306597588935,43195422142,Union Bank,"House 5, Indira Colony, Dhubri",Dhubri,PM Fasal Bima,23368.04,1977-10-12,9037271433,2023-09-15
602,Anjali Maurya,215941350652,17645806059,Union Bank,"House 731, Azad Nagar, Raipur",Raipur,PMKVY Skill Dev,10274.96,1982-10-30,9073281097,2022-08-09
603,Suresh Verma,328072675531,18467773583,Central Bank,"House 753, Lal Bahadur Nagar, Indore",Indore,NSAP Pension,3365.01,1974-01-27, ,2023-02-14
604,Leela Jha,566273357178,72696320913,Bank of India,"House 659, Netaji Nagar, Udaipur",Udaipur,PM Fasal Bima,24621.26,1989-04-08,9454904749,2023-12-19
605,Naresh Mehta,573544472043,80577003212,UCO Bank,"House 452, Krishnanagar, Kamrup",Kamrup,PM Awas Yojana,137479.21,1991-04-03,9701391154,2023-08-17
606,Leela Bind,310422751343,64986474998,State Bank of India,"House 771, Model Town, Kamrup",Kamrup,MGNREGA,4251.14,1992-02-16,9700292320,2025-05-24
607,Mahesh Chauhan,358264428087,29540044054,State Bank of India,"House 107, Rajiv Nagar, Muzaffarpur",Muzaffarpur,PM Ujjwala,2743.4,1979-03-22,9741576832,2025-02-19
608,Asha Mukherjee,673838113074,25137985932,Punjab National Bank,"House 805, Gandhi Nagar, Kanpur",Kanpur,PM Fasal Bima,2488.37,1986-02-08,9137102009,2021-12-11
609,Priya Chauhan,744024928278,24016774978,Punjab National Bank,"House 600, Sardar Patel Nagar, Goalpara",Goalpara,MGNREGA,9094.6,1981-08-09,9802900627,2025-07-10
610,Mahesh Verma,699253129802,00353775861,Bank of India,"House 780, Nehru Vihar, Muzaffarpur",Muzaffarpur,PM Fasal Bima,15540.27,1965-12-09,9895963558,2023-09-27
611,Dinesh Bind,197006119771,53544787293,UCO Bank,"House 725, Subhash Nagar, Gaya",Gaya,PM Fasal Bima,19144.53,1975-04-02,9143496916,2025-09-06
612,Devaki Mallah,724424265431,49234517899,State Bank of India,"House 235, Netaji Nagar, Muzaffarpur",Muzaffarpur,PM Fasal Bima,2206.8,1971-04-02,9750043924,2025-11-02
613,Sunita Das,764263767184,58649167762,UCO Bank,"House 256, Netaji Nagar, Lucknow",Lucknow,PMSBY Insurance,1810.37,1982-12-18,9534098691,2022-10-25
614,Neha Naidu,844091253123,20561432488,Punjab National Bank,"House 318, Gandhi Nagar, Varanasi",Varanasi,PM Fasal Bima,13224.71,1990-12-11,9962340248,2025-04-01
615,Leela Mukherjee,091297341030,25222550982,Punjab National Bank,"House 938, Indira Colony, Darrang",Darrang,PM Fasal Bima,3736.63,1988-12-21,9896225531,2021-12-18
616,Usha Das,862731317995,15057108877,State Bank of India,"House 598, Rajiv Nagar, Jaipur",Jaipur,MGNREGA,6246.45,1982-11-02,9689582386,2023-07-02
617,Nisha Nair,897792819306,94871610398,State Bank of India,"House 608, Netaji Nagar, Jodhpur",Jodhpur,PMKVY Skill Dev,8314.76,1968-02-17,9838518587,2022-04-16
618,Deepak Verma,678748790227,11111111111,Allahabad Bank,"House 775, Indira Colony, Lucknow",Lucknow,PMKVY Skill Dev,9176.65,1923-04-10, ,2024-02-09
619,Rekha Lodhi,027158258010,30738770309,Canara Bank,"House 160, Netaji Nagar, Varanasi",Varanasi,Ayushman Bharat,13300.48,1989-12-28,9874900400,2022-02-12
620,Leela Chauhan,782170037982,50688514254,Bank of Baroda,"House 27, Netaji Nagar, Gorakhpur",Gorakhpur,MGNREGA,5379.08,1983-12-01,9202381344,2022-10-16
621,Nisha Singh,779730490055,94010422580,Union Bank,"House 830, New Colony, Bhagalpur",Bhagalpur,NSP Scholarship,8314.52,1975-07-19,9050301661,2022-03-02
622,Mukesh Kumar,590449709325,17151066637,Bank of India,"House 205, Azad Nagar, Kanpur",Kanpur,Ayushman Bharat,19741.27,1965-12-13,9295087355,2023-07-24
623,Vandana Joshi,942406115870,60278344984,Punjab National Bank,"House 928, Shantinagar, Kamrup",Kamrup,PMKVY Skill Dev,14297.9,1975-12-14,9812214751,2021-12-13
624,Mahesh Thakur,114497049493,48931914815,Canara Bank,"House 95, Rampur, Jodhpur",Jodhpur,MGNREGA,3760.56,1970-09-18,9169574743,2021-06-13
625,Mukesh Kewat,159357781807,44164859514,Union Bank,"House 849, Nehru Vihar, Jabalpur",Jabalpur,PM Fasal Bima,11169.22,1980-06-25,9150483086,2024-11-15
626,Mahesh Devi,825762303188,06068161181,Bank of Baroda,"House 302, Bapunagar, Allahabad",Allahabad,PM Awas Yojana,120680.04,1968-11-09,9963321509,2023-12-09
627,Rajan Devi,512928722335,14763220552,Canara Bank,"House 476, Ambedkar Nagar, Kamrup",Kamrup,NSP Scholarship,6341.71,1983-04-27,9122417475,2024-11-05
628,Kiran Rajput,077536376614,81211925595,State Bank of India,"House 352, Shantinagar, Nagaon",Nagaon,PM Awas Yojana,124615.97,1979-07-05,9300479626,2022-04-21
629,Pooja Iyer,942922293620,01301206203,Central Bank,"House 796, Rajiv Nagar, Bilaspur",Bilaspur,PM Ujjwala,2294.57,2000-04-01,9157130073,2022-06-02
630,Munni Rani,388816409713,45647984345,Bank of India,"House 917, Rampur, Goalpara",Goalpara,PM Awas Yojana,149974.29,1974-03-13,9237867686,2022-09-07
631,Bharat Reddy,433357295837,96195081143,Bank of India,"House 967, Azad Nagar, Bhopal",Bhopal,MGNREGA,9179.65,1972-02-03,9125645897,2021-02-22
632,Mahesh Ghosh,683893877363,65729346808,Canara Bank,"House 394, Sardar Patel Nagar, Gorakhpur",Gorakhpur,PM Awas Yojana,140538.87,1987-07-30,9205701837,2020-11-02
633,Devaki Singh,354753122314,11111111111,Punjab National Bank,"House 230, Gandhi Nagar, Darrang",Darrang,NSAP Pension,2939.41,1922-02-23, ,2022-06-05
634,Rakesh Nirmalkar,539886717531,87750693920,Punjab National Bank,"House 722, Rajiv Nagar, Udaipur",Udaipur,PM Awas Yojana,148733.19,1995-01-22,9919689607,2021-03-14
635,Meera Mehta,772014162360,08066160424,Canara Bank,"House 46, Subhash Nagar, Dhubri",Dhubri,PM Awas Yojana,141366.68,1995-05-15,9928274655,2024-10-04
636,Mukesh Roy,534417848987,59235288356,UCO Bank,"House 73, Rajiv Nagar, Allahabad",Allahabad,Ayushman Bharat,14909.81,1974-05-07,9665720262,2021-05-15
637,Rajan Chauhan,032386874737,37659008372,Union Bank,"House 39, Netaji Nagar, Lakhimpur",Lakhimpur,NSAP Pension,5042.2,1977-07-04,9661846172,2022-07-10
638,Rakesh Reddy,108561854086,58893025398,Indian Bank,"House 145, Netaji Nagar, Kamrup",Kamrup,PMSBY Insurance,1353.69,1971-11-25,9052872951,2023-09-20
639,Asha Mishra,812402479775,18291793130,Indian Bank,"House 977, Ambedkar Nagar, Gaya",Gaya,PMKVY Skill Dev,459017.91,1963-01-19,9678460895,2023-05-02
640,Dinesh Patel,613733448136,43748720263,State Bank of India,"House 95, Subhash Nagar, Jorhat",Jorhat,PM Awas Yojana,138120.84,1973-02-12,9662868704,2023-04-25
641,Sanjay Kurmi,082059555750,65581652249,Allahabad Bank,"House 352, Indira Colony, Sivasagar",Sivasagar,Ayushman Bharat,44951.6,1979-07-14,9579099105,2023-01-12
642,Hari Pillai,308311932361,14166014343,Punjab National Bank,"House 294, Subhash Nagar, Sivasagar",Sivasagar,PM Fasal Bima,11110.52,1957-04-19,9341394196,2020-12-16
643,Anil Kumar,159947021646,38402225805,Union Bank,"House 516, Rampur, Raipur",Raipur,PMKVY Skill Dev,19741.73,1968-05-17,9550900183,2025-08-29
644,Yogesh Thakur,244878837510,87693338419,Central Bank,"House 884, Indira Colony, Varanasi",Varanasi,PM Fasal Bima,20611.19,1963-07-15,9117529707,2023-08-02
645,Mohan Pandey,113282030228,52040137158,Punjab National Bank,"House 877, Krishnanagar, Kamrup",Kamrup,MGNREGA,8420.93,1978-08-17,9590367355,2023-01-05
646,Umesh Bose,258435608501,77949090566,Union Bank,"House 228, Shantinagar, Indore",Indore,PM Awas Yojana,130698.85,1998-12-05,9694320794,2023-01-14
647,Ramesh Kumar,342531786327,90427920267,Canara Bank,"House 278, New Colony, Nagaon",Nagaon,PM Awas Yojana,132768.17,1961-05-20,9064804625,2022-10-22
648,Pushpa Singh,473359742324,42655568908,Punjab National Bank,"House 78, Subhash Nagar, Jabalpur",Jabalpur,MGNREGA,10592.49,1967-10-09,9361998711,2024-04-16
649,Vandana Kurmi,256349325538,09103962865,State Bank of India,"House 324, Bapunagar, Nagaon",Nagaon,PMKVY Skill Dev,17928.28,1961-08-07,9310116955,2023-09-30
650,Parvati Chatterjee,873948556848,81974544755,Allahabad Bank,"House 452, Rampur, Dhubri",Dhubri,PM Awas Yojana,132503.9,1985-01-12,9503582651,2021-07-03
651,Vandana Patel,758638868004,96935692918,Punjab National Bank,"House 966, Subhash Nagar, Dhubri",Dhubri,PM Awas Yojana,145605.79,1984-09-04,9675982369,2022-10-18
652,Vinod Rani,231822474921,05343274417,Punjab National Bank,"House 87, New Colony, Amritsar",Amritsar,NSAP Pension,2778.8,1989-12-21,9756164303,2024-08-15
653,Seema Kumar,182142203521,68240369263,Allahabad Bank,"House 287, Gandhi Nagar, Barpeta",Barpeta,PM Ujjwala,1728.82,1990-11-06,9440085772,2024-03-25
654,Rajan Lodhi,216624867443,45534735573,UCO Bank,"House 996, Nehru Vihar, Indore",Indore,PM Awas Yojana,136978.99,1979-02-09,9544199763,2025-11-23
655,Suresh Joshi,508126616148,28437425027,Allahabad Bank,"House 432, Gandhi Nagar, Kamrup",Kamrup,PMSBY Insurance,1784.84,1996-02-05,9921617276,2022-08-06
656,Hari Nirmalkar,321329546909,09812026671,State Bank of India,"House 675, New Colony, Indore",Indore,PM Ujjwala,2111.61,1995-09-15,9231473996,2025-12-11
657,Devaki Verma,442067252044,04996325175,Canara Bank,"House 284, Bapunagar, Lucknow",Lucknow,NSAP Pension,1924.58,1972-09-15,9096068208,2021-12-14
658,Hitesh Kumar,251811244686,50679182589,UCO Bank,"House 819, Netaji Nagar, Allahabad",Allahabad,PM Ujjwala,2114.67,1960-12-03,9051852904,2022-05-30
659,Seema Mishra,429833295037,88633514324,Punjab National Bank,"House 147, Bapunagar, Indore",Indore,Ayushman Bharat,8736.15,1970-01-14,9315363375,2021-07-10
660,Mohan Kewat,785854802596,71639397013,Bank of India,"House 768, Lal Bahadur Nagar, Jodhpur",Jodhpur,PM Awas Yojana,140394.83,1974-03-10,9924689212,2025-08-17
661,Asha Bose,473598991804,18001455691,Central Bank,"House 369, Rajiv Nagar, Muzaffarpur",Muzaffarpur,MGNREGA,13924.56,1963-01-16,9710273671,2023-05-14
662,Prakash Iyer,089705281187,52879851076,UCO Bank,"House 587, Lal Bahadur Nagar, Jorhat",Jorhat,PMSBY Insurance,1766.88,1985-09-02,9234905166,2023-05-05
663,Mamta Iyer,882879262463,46751575048,Bank of India,"House 738, Model Town, Sivasagar",Sivasagar,MGNREGA,12495.5,1975-12-11,9003545949,2023-05-21
664,Sanjay Mukherjee,626281420603,47655440438,Indian Bank,"House 592, Bapunagar, Nagaon",Nagaon,Ayushman Bharat,9822.56,1987-07-13,9563246660,2021-10-20
665,Hitesh Bose,540428246852,58266863813,State Bank of India,"House 884, Lal Bahadur Nagar, Kamrup",Kamrup,PM-KISAN,2463.43,1967-05-19,9245480005,2025-11-04
666,Mahesh Gupta,350809834444,80557047684,Allahabad Bank,"House 631, Krishnanagar, Amritsar",Amritsar,PMKVY Skill Dev,16840.24,1972-09-22,9941103512,2025-08-09
667,Parvati Kurmi,531245260946,38811119875,Bank of India,"House 130, Ambedkar Nagar, Bilaspur",Bilaspur,NSAP Pension,5240.0,1990-11-30,9148530454,2021-08-01
668,Rakesh Kurmi,132702567980,90637637784,Indian Bank,"Plot No.4, Near Panchayat Office, Sonitpur",Darbhanga,NSAP Pension,4712.48,1966-01-12,9042289641,2020-10-12
669,Suman Maurya,639163289809,32994918525,Punjab National Bank,"House 188, Krishnanagar, Ludhiana",Ludhiana,NSAP Pension,4543.03,1973-03-03,9493621252,2025-08-07
670,Umesh Lodhi,835682345556,51952051104,Canara Bank,"House 9, New Colony, Amritsar",Amritsar,MGNREGA,12755.84,1973-11-29,9897140569,2023-06-30
671,Mangala Mehta,205497095162,74003416591,Bank of Baroda,"House 135, Indira Colony, Patna",Patna,PM Awas Yojana,143364.06,1992-03-04,9159843244,2023-10-29
672,Rekha Nath,808367049186,20748040190,State Bank of India,"House 220, Krishnanagar, Bhopal",Bhopal,PM Awas Yojana,134186.12,1958-12-07,9637175124,2025-09-07
673,Ritu Gupta,761257564275,38769959735,UCO Bank,"House 477, Gandhi Nagar, Ludhiana",Ludhiana,NSAP Pension,4571.15,1992-10-05,9519876839,2022-12-24
674,Vijay Iyer,502188632951,77730631459,UCO Bank,"Plot No.2, Near Panchayat Office, Jorhat",Jaipur,PMKVY Skill Dev,18035.1,1979-01-19,9106025937,2025-09-21
675,Hari Rani,654916413491,49335216051,Bank of Baroda,"House 543, Subhash Nagar, Goalpara",Goalpara,NSP Scholarship,11562.2,1986-02-15,9684199963,2023-10-21
676,Priya Mallah,330556440516,28472300349,Union Bank,"House 162, Gandhi Nagar, Jaipur",Jaipur,PM Ujjwala,2009.98,1987-12-22,9603274714,2025-03-20
677,Santosh Nath,771524491553,60547454729,State Bank of India,"House 237, Indira Colony, Bhopal",Bhopal,PM Awas Yojana,127819.89,1980-08-16,9460765693,2022-06-01
678,Sunita Verma,253696794637,72942986724,Bank of Baroda,"House 679, Netaji Nagar, Ludhiana",Ludhiana,PM-KISAN,5490.66,1973-02-03,9398495527,2023-10-17
679,Hari Reddy,957934044325,32106054696,Punjab National Bank,"House 700, Sardar Patel Nagar, Sivasagar",Sivasagar,PM Fasal Bima,22277.95,1974-03-04,9363884395,2025-10-24
680,Hari Tiwari,647434451515,40578739907,Bank of Baroda,"House 171, Rajiv Nagar, Lakhimpur",Lakhimpur,PMSBY Insurance,1344.01,1987-02-18,9284469728,2021-05-20
681,Ramesh Shah,600945966344,38471714952,State Bank of India,"House 949, Netaji Nagar, Kanpur",Kanpur,PM Fasal Bima,18932.88,2000-08-30,9713085220,2021-07-17
682,Ganga Kahar,152267516277,65796397411,Bank of India,"House 677, Nehru Vihar, Darbhanga",Darbhanga,PM-KISAN,3972.39,1974-10-30,9278610940,2025-12-19
683,Suresh Das,738712700734,57595749049,Bank of India,"Plot No.5, Near Panchayat Office, Gaya",Barpeta,PM Awas Yojana,149514.65,1985-12-12,9511482713,2021-12-31
684,Usha Kahar,531515552520,51583555704,Bank of Baroda,"House 560, Subhash Nagar, Indore",Indore,PM Awas Yojana,129983.81,1998-01-16,9834723093,2024-01-01
685,Geeta Patel,274391908106,19446068652,Bank of India,"House 851, Subhash Nagar, Kamrup",Kamrup,PMKVY Skill Dev,15813.49,1968-05-26,9836764899,2022-12-16
686,Rekha Gupta,023618789836,95039944924,Punjab National Bank,"House 742, Rajiv Nagar, Darbhanga",Darbhanga,NSP Scholarship,4170.16,1987-08-01,9524672471,2024-04-03
687,Anjali Shah,102936322265,34482181284,Central Bank,"House 232, Sardar Patel Nagar, Patna",Patna,MGNREGA,7132.83,1989-04-21,9566494645,2020-10-23
688,Bharat Sahu,029296111242,26238573415,Punjab National Bank,"House 695, Shantinagar, Bilaspur",Bilaspur,PM Awas Yojana,135036.99,2000-04-04,9905366566,2023-08-24
689,Kiran Devi,373729546370,08815544295,Bank of Baroda,"House 120, Nehru Vihar, Allahabad",Allahabad,PM Awas Yojana,140451.95,1995-07-23,9417921795,2022-05-13
690,Prakash Thakur,383517400923,00258500040,Bank of Baroda,"House 117, Bapunagar, Bilaspur",Bilaspur,Ayushman Bharat,43999.32,1993-11-07,9898544518,2023-08-11
691,Kavita Bose,244231713569,89595018870,Canara Bank,"House 967, Sardar Patel Nagar, Udaipur",Udaipur,PMSBY Insurance,1782.21,1990-04-07,9458835762,2023-01-25
692,Parvati Pandey,785479196906,41494167489,Canara Bank,"House 763, Netaji Nagar, Lucknow",Lucknow,Ayushman Bharat,25523.06,1982-04-12,9510553085,2024-12-13
693,Seema Jha,382562905549,43501107195,Union Bank,"House 902, Shantinagar, Indore",Indore,PM Awas Yojana,128475.24,1972-11-21,9041385648,2020-11-06
694,Vandana Nath,762705664608,38400276834,Bank of Baroda,"House 997, Azad Nagar, Amritsar",Amritsar,PMKVY Skill Dev,16922.35,1997-04-20,9567553759,2024-06-28
695,Rajesh Kumar,890574672089,90683888410,Allahabad Bank,"House 874, Rajiv Nagar, Bhagalpur",Bhagalpur,PMSBY Insurance,1877.29,1985-08-01,9560678813,2021-11-27
696,Rajan Pillai,367747496577,12849544978,Canara Bank,"House 952, Bapunagar, Jodhpur",Jodhpur,Ayushman Bharat,31803.99,1958-02-13,9537369721,2025-09-13
697,Rekha Chatterjee,766641000478,58864606146,Allahabad Bank,"House 199, Model Town, Darbhanga",Darbhanga,PM Awas Yojana,133243.02,1960-02-10,9476507805,2023-01-23
698,Ganga Patel,824188217780,77923242838,State Bank of India,"House 335, Nehru Vihar, Amritsar",Amritsar,PMKVY Skill Dev,12620.31,1972-12-29,9803664970,2024-11-15
699,Mahesh Nair,129262730778,51425759815,Central Bank,"House 719, Bapunagar, Muzaffarpur",Muzaffarpur,PM Awas Yojana,122152.74,1996-02-20,9149756226,2022-04-08
700,Pushpa Kurmi,089599776110,57589948320,Indian Bank,"House 562, Azad Nagar, Bilaspur",Bilaspur,PM-KISAN,2542.02,1991-01-10,9798614584,2022-01-14
701,Ganesh Roy,030064873413,19022749528,Union Bank,"House 403, Lal Bahadur Nagar, Barpeta",Barpeta,PM-KISAN,4367.43,1997-06-02,9612233274,2022-05-25
702,Rakesh Das,788567409361,17933829151,Central Bank,"House 952, Indira Colony, Jabalpur",Jabalpur,Ayushman Bharat,23880.63,1965-12-06,9750608747,2021-03-17
703,Suman Bose,043409394943,77204857108,Indian Bank,"House 216, Shantinagar, Bhopal",Bhopal,MGNREGA,13224.27,1991-03-16,9625227441,2023-05-28
704,Meera Reddy,956395527625,60270494187,Union Bank,"Plot No.2, Near Panchayat Office, Jorhat",Jaipur,NSP Scholarship,8670.08,1974-03-19,9802593102,2024-09-25
705,Babli Kewat,562000454991,14181888032,Bank of Baroda,"House 47, Sardar Patel Nagar, Varanasi",Varanasi,PM Awas Yojana,144742.57,1965-08-28,9854511239,2022-12-19
706,Neha Rajput,040124768621,30710504627,Canara Bank,"Plot No.5, Near Panchayat Office, Gaya",Gaya,NSAP Pension,3499.73,1959-11-15,9030610852,2022-08-16
707,Mangala Thakur,034814919537,25376393691,Canara Bank,"House 26, Lal Bahadur Nagar, Nagaon",Nagaon,PM-KISAN,2471.2,1966-03-18,9357438607,2025-11-27
708,Dinesh Rani,579595692966,96694043941,Indian Bank,"House 431, Rajiv Nagar, Jodhpur",Jodhpur,NSAP Pension,5553.07,1958-07-29,9135837117,2025-05-02
709,Suman Iyer,535818776567,15601609707,Canara Bank,"House 502, Subhash Nagar, Muzaffarpur",Muzaffarpur,MGNREGA,3346.67,1980-11-06,9078647549,2025-08-08
710,Anil Roy,261075136613,02406697356,Bank of India,"House 325, Nehru Vihar, Jaipur",Jaipur,PM Awas Yojana,146056.1,1991-08-12,9161334724,2025-05-05
711,Rekha Kewat,750566988310,21348773174,UCO Bank,"House 75, Netaji Nagar, Nagaon",Nagaon,PMKVY Skill Dev,11462.68,1993-06-08,9909849541,2022-08-19
